age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income
49,private,133969,doctorate,16,married_civ_spouse,prof_specialty,husband,other,male,0,0,50,united_states,>50k
46,private,184169,masters,14,married_civ_spouse,prof_specialty,wife,white,female,7688,0,35,united_states,>50k
58,private,100960,9th,5,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,<=50k
57,self_emp_not_inc,130957,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,1887,70,united_states,>50k
25,private,181528,masters,14,never_married,exec_managerial,not_in_family,white,female,0,0,43,united_states,<=50k
42,private,187702,hs_grad,9,divorced,other_service,not_in_family,white,male,0,0,40,united_states,<=50k
32,self_emp_not_inc,205072,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,0,0,48,united_states,<=50k
23,state_gov,278155,bachelors,13,never_married,adm_clerical,own_child,white,male,0,0,40,united_states,<=50k
57,private,265099,prof_school,15,married_civ_spouse,prof_specialty,husband,white,male,0,0,60,united_states,<=50k
40,self_emp_not_inc,107762,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,45,united_states,<=50k
69,?,254834,bachelors,13,married_civ_spouse,?,husband,white,male,10605,0,10,united_states,>50k
58,private,88572,hs_grad,9,divorced,adm_clerical,unmarried,white,female,0,0,45,united_states,<=50k
53,?,123011,hs_grad,9,married_civ_spouse,?,husband,white,male,0,0,40,united_states,>50k
27,private,215014,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50k
28,private,228075,some_college,10,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,<=50k
28,private,34452,assoc_voc,11,married_civ_spouse,craft_repair,husband,white,male,0,0,50,united_states,<=50k
62,self_emp_not_inc,136684,hs_grad,9,widowed,adm_clerical,other_relative,white,female,0,0,30,united_states,<=50k
55,private,119344,hs_grad,9,married_civ_spouse,prof_specialty,own_child,white,female,0,0,40,united_states,<=50k
31,private,148600,hs_grad,9,married_civ_spouse,machine_op_inspct,husband,black,male,0,0,40,united_states,<=50k
41,private,202565,hs_grad,9,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,>50k
35,private,189382,hs_grad,9,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,<=50k
27,private,339956,hs_grad,9,married_civ_spouse,transport_moving,husband,black,male,0,0,60,united_states,<=50k
24,private,112459,masters,14,never_married,prof_specialty,not_in_family,white,female,0,0,45,united_states,<=50k
46,local_gov,226871,bachelors,13,divorced,protective_serv,not_in_family,black,male,0,0,50,united_states,>50k
58,private,225394,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,1902,40,united_states,<=50k
34,?,317219,some_college,10,married_civ_spouse,?,wife,white,female,0,0,20,united_states,>50k
21,self_emp_not_inc,190968,hs_grad,9,never_married,farming_fishing,own_child,white,male,0,0,25,united_states,<=50k
36,private,410034,assoc_acdm,12,married_civ_spouse,craft_repair,husband,white,male,0,0,45,united_states,<=50k
52,local_gov,392668,assoc_voc,11,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,>50k
41,self_emp_not_inc,140108,hs_grad,9,married_civ_spouse,adm_clerical,husband,black,male,0,0,30,united_states,<=50k
48,private,99096,some_college,10,divorced,adm_clerical,not_in_family,white,female,0,1590,38,united_states,<=50k
52,?,50934,assoc_acdm,12,married_civ_spouse,?,wife,white,female,0,0,20,united_states,>50k
48,private,93476,hs_grad,9,separated,adm_clerical,not_in_family,white,female,0,2001,40,united_states,<=50k
21,private,338162,hs_grad,9,married_civ_spouse,machine_op_inspct,wife,black,female,0,0,37,united_states,<=50k
41,federal_gov,46366,bachelors,13,married_civ_spouse,exec_managerial,wife,black,female,0,0,50,united_states,>50k
26,private,171114,bachelors,13,never_married,exec_managerial,own_child,white,female,0,0,40,united_states,<=50k
34,private,100593,some_college,10,divorced,prof_specialty,unmarried,white,female,0,0,6,united_states,<=50k
45,self_emp_not_inc,133969,hs_grad,9,married_civ_spouse,sales,husband,asian_pac_islander,male,0,0,50,south,>50k
33,private,341187,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,>50k
23,private,320451,bachelors,13,never_married,exec_managerial,own_child,asian_pac_islander,male,0,0,24,united_states,<=50k
32,private,182323,hs_grad,9,married_civ_spouse,prof_specialty,husband,white,male,7688,0,40,united_states,>50k
57,self_emp_not_inc,152030,some_college,10,married_civ_spouse,sales,wife,white,female,0,0,25,united_states,>50k
19,private,46162,hs_grad,9,never_married,farming_fishing,own_child,white,male,0,0,25,united_states,<=50k
28,state_gov,190525,masters,14,never_married,prof_specialty,not_in_family,white,male,0,0,50,united_states,<=50k
42,state_gov,119008,assoc_acdm,12,divorced,tech_support,not_in_family,black,female,0,1974,40,united_states,<=50k
35,local_gov,185769,some_college,10,married_civ_spouse,other_service,husband,white,male,0,0,40,united_states,<=50k
38,federal_gov,37683,prof_school,15,never_married,prof_specialty,not_in_family,asian_pac_islander,female,99999,0,57,canada,>50k
31,private,35985,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50k
48,?,61985,9th,5,separated,?,not_in_family,amer_indian_eskimo,female,0,0,20,united_states,<=50k
19,private,240468,some_college,10,married_spouse_absent,sales,own_child,white,female,0,1602,40,united_states,<=50k
17,private,98005,11th,7,never_married,sales,own_child,white,female,0,0,16,united_states,<=50k
31,private,187215,hs_grad,9,never_married,priv_house_serv,not_in_family,white,female,0,0,40,el_salvador,<=50k
22,private,227943,some_college,10,never_married,protective_serv,own_child,white,male,0,0,40,united_states,<=50k
30,private,128016,bachelors,13,never_married,exec_managerial,not_in_family,white,female,0,0,55,united_states,<=50k
21,private,263886,some_college,10,never_married,adm_clerical,not_in_family,black,female,0,0,20,united_states,<=50k
39,private,430336,hs_grad,9,married_civ_spouse,exec_managerial,husband,black,male,7688,0,45,united_states,>50k
34,private,49469,bachelors,13,never_married,sales,not_in_family,white,male,99999,0,50,united_states,>50k
39,private,30269,assoc_voc,11,divorced,sales,unmarried,white,female,0,0,40,united_states,<=50k
34,private,193565,11th,7,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50k
32,private,166634,hs_grad,9,married_civ_spouse,machine_op_inspct,husband,black,male,0,0,40,united_states,<=50k
28,private,34532,bachelors,13,never_married,tech_support,not_in_family,black,male,0,0,30,jamaica,<=50k
46,private,330087,bachelors,13,married_civ_spouse,exec_managerial,husband,white,male,0,0,55,united_states,>50k
33,private,327902,hs_grad,9,married_civ_spouse,sales,husband,white,male,3908,0,50,united_states,<=50k
31,private,212235,some_college,10,never_married,sales,not_in_family,white,male,0,0,45,united_states,<=50k
27,private,129009,bachelors,13,never_married,exec_managerial,not_in_family,white,female,0,0,55,united_states,<=50k
57,private,178154,10th,6,widowed,transport_moving,not_in_family,white,male,0,0,40,united_states,<=50k
32,self_emp_not_inc,134737,bachelors,13,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,70,united_states,>50k
73,?,89852,1st_4th,2,married_civ_spouse,?,husband,white,male,0,0,40,portugal,<=50k
23,private,220993,hs_grad,9,never_married,sales,not_in_family,white,male,0,1590,48,united_states,<=50k
22,local_gov,175586,hs_grad,9,never_married,transport_moving,own_child,black,female,0,0,20,united_states,<=50k
47,state_gov,142287,bachelors,13,married_civ_spouse,prof_specialty,husband,white,male,0,0,35,united_states,>50k
73,private,26248,7th_8th,4,married_civ_spouse,sales,husband,white,male,0,0,30,united_states,>50k
44,private,219155,assoc_acdm,12,married_civ_spouse,sales,husband,white,male,0,0,40,united_states,>50k
38,private,266325,bachelors,13,married_civ_spouse,prof_specialty,wife,white,female,0,0,32,united_states,>50k
48,self_emp_inc,213140,hs_grad,9,married_civ_spouse,exec_managerial,husband,white,male,0,0,80,united_states,<=50k
41,private,302606,hs_grad,9,divorced,exec_managerial,unmarried,white,female,0,0,40,united_states,<=50k
27,private,180758,assoc_acdm,12,never_married,sales,not_in_family,white,male,0,0,40,united_states,<=50k
21,?,197583,some_college,10,never_married,?,own_child,white,female,0,0,40,united_states,<=50k
55,local_gov,190091,masters,14,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,>50k
32,private,190511,some_college,10,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,>50k
35,self_emp_not_inc,354520,hs_grad,9,married_spouse_absent,other_service,not_in_family,white,female,0,0,40,united_states,<=50k
18,private,31983,12th,8,never_married,adm_clerical,own_child,white,female,0,0,20,united_states,<=50k
32,private,219553,11th,7,married_civ_spouse,craft_repair,husband,white,male,0,0,60,united_states,<=50k
26,private,212798,bachelors,13,never_married,exec_managerial,not_in_family,white,female,0,0,45,united_states,<=50k
60,self_emp_not_inc,145209,hs_grad,9,married_civ_spouse,sales,husband,white,male,0,0,60,united_states,<=50k
30,local_gov,194740,bachelors,13,married_civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,<=50k
29,self_emp_not_inc,169544,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,5178,0,40,united_states,>50k
24,state_gov,147548,masters,14,never_married,prof_specialty,not_in_family,white,female,0,0,20,united_states,<=50k
68,?,255276,some_college,10,married_civ_spouse,?,husband,white,male,0,0,48,united_states,>50k
47,private,144844,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50k
41,private,143069,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,0,60,united_states,<=50k
39,private,319962,hs_grad,9,divorced,sales,other_relative,white,female,0,0,40,united_states,<=50k
36,state_gov,86805,some_college,10,married_civ_spouse,exec_managerial,wife,white,female,7298,0,39,united_states,>50k
35,private,491000,assoc_voc,11,divorced,prof_specialty,own_child,black,male,0,0,40,united_states,<=50k
22,?,125905,some_college,10,never_married,?,own_child,white,male,0,0,40,united_states,<=50k
29,private,78261,hs_grad,9,separated,protective_serv,not_in_family,white,male,0,0,55,united_states,<=50k
51,private,125796,some_college,10,married_civ_spouse,adm_clerical,wife,black,female,0,0,35,jamaica,<=50k
33,federal_gov,26543,assoc_voc,11,married_civ_spouse,tech_support,husband,white,male,0,0,40,united_states,>50k
53,self_emp_not_inc,163826,some_college,10,married_civ_spouse,prof_specialty,husband,white,male,0,0,45,united_states,>50k
40,private,55395,assoc_voc,11,married_civ_spouse,prof_specialty,husband,white,male,0,0,40,united_states,>50k
38,private,184801,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,60,united_states,>50k
26,private,48280,bachelors,13,never_married,prof_specialty,not_in_family,white,female,0,0,40,united_states,<=50k
31,self_emp_not_inc,195891,hs_grad,9,married_civ_spouse,craft_repair,own_child,white,male,0,0,40,united_states,<=50k
27,private,54861,some_college,10,never_married,sales,not_in_family,white,male,0,0,32,united_states,<=50k
43,self_emp_not_inc,35236,hs_grad,9,married_spouse_absent,craft_repair,not_in_family,white,male,0,0,40,united_states,<=50k
37,self_emp_not_inc,353298,hs_grad,9,married_civ_spouse,sales,husband,white,male,99999,0,50,united_states,>50k
35,private,278442,bachelors,13,married_civ_spouse,sales,husband,white,male,7298,0,48,united_states,>50k
62,?,139391,some_college,10,married_civ_spouse,?,husband,white,male,0,0,24,united_states,<=50k
21,private,124242,assoc_acdm,12,never_married,other_service,own_child,white,female,0,0,40,united_states,<=50k
43,private,180138,hs_grad,9,never_married,craft_repair,not_in_family,white,male,0,0,45,united_states,<=50k
56,private,189975,some_college,10,married_civ_spouse,craft_repair,husband,white,male,0,1902,60,united_states,>50k
51,federal_gov,106257,assoc_acdm,12,married_civ_spouse,tech_support,husband,black,male,0,0,40,united_states,<=50k
47,self_emp_inc,239321,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,40,united_states,>50k
41,private,77373,some_college,10,married_civ_spouse,transport_moving,husband,white,male,0,1848,65,united_states,>50k
56,private,187355,some_college,10,divorced,sales,unmarried,white,female,0,0,40,united_states,<=50k
32,private,198068,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50k
18,private,183315,11th,7,never_married,sales,own_child,black,female,0,0,10,united_states,<=50k
30,private,194901,hs_grad,9,never_married,sales,other_relative,white,male,0,0,40,united_states,<=50k
40,private,115331,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,0,0,35,united_states,<=50k
46,private,70754,7th_8th,4,never_married,handlers_cleaners,not_in_family,white,male,0,0,50,united_states,<=50k
22,private,67234,hs_grad,9,never_married,sales,not_in_family,white,male,0,0,60,united_states,<=50k
17,private,169037,11th,7,never_married,handlers_cleaners,own_child,white,male,0,0,40,united_states,<=50k
36,private,131039,hs_grad,9,never_married,adm_clerical,not_in_family,asian_pac_islander,female,0,0,35,trinadad&tobago,<=50k
25,private,310864,bachelors,13,never_married,tech_support,not_in_family,black,male,0,0,40,?,<=50k
25,federal_gov,366207,hs_grad,9,never_married,transport_moving,own_child,white,male,0,0,40,united_states,<=50k
20,?,133061,9th,5,never_married,?,own_child,white,male,0,0,40,united_states,<=50k
47,private,436770,assoc_voc,11,never_married,prof_specialty,not_in_family,white,female,0,0,40,united_states,<=50k
51,private,168660,11th,7,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,<=50k
51,private,194097,some_college,10,married_civ_spouse,exec_managerial,wife,white,female,0,0,30,united_states,>50k
29,private,241431,masters,14,married_civ_spouse,sales,husband,white,male,7298,0,40,united_states,>50k
25,private,140669,bachelors,13,never_married,prof_specialty,not_in_family,white,female,0,0,40,united_states,<=50k
56,private,288530,hs_grad,9,married_civ_spouse,adm_clerical,wife,white,female,0,0,37,united_states,>50k
48,private,177211,11th,7,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,<=50k
43,private,191712,bachelors,13,never_married,adm_clerical,not_in_family,white,male,0,1741,40,united_states,<=50k
74,self_emp_not_inc,104001,hs_grad,9,married_civ_spouse,sales,husband,white,male,0,0,40,united_states,>50k
35,private,161637,doctorate,16,married_civ_spouse,prof_specialty,husband,asian_pac_islander,male,0,1902,40,taiwan,>50k
46,private,171199,bachelors,13,divorced,machine_op_inspct,unmarried,other,female,0,0,40,puerto_rico,<=50k
33,private,118500,some_college,10,divorced,exec_managerial,unmarried,white,female,0,0,40,united_states,<=50k
33,local_gov,163867,hs_grad,9,never_married,other_service,own_child,white,male,0,0,8,united_states,<=50k
26,private,276309,some_college,10,never_married,handlers_cleaners,own_child,black,female,0,0,20,united_states,<=50k
25,private,181666,assoc_acdm,12,never_married,tech_support,own_child,white,female,0,0,40,united_states,<=50k
52,private,122109,hs_grad,9,never_married,prof_specialty,unmarried,white,female,0,323,40,united_states,<=50k
52,?,287575,hs_grad,9,separated,?,unmarried,white,male,0,0,40,united_states,<=50k
27,private,217530,hs_grad,9,never_married,sales,own_child,white,female,0,0,45,mexico,<=50k
58,private,366324,some_college,10,married_civ_spouse,other_service,wife,white,female,0,0,30,united_states,<=50k
29,private,152951,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,>50k
26,private,215384,bachelors,13,never_married,exec_managerial,not_in_family,white,male,0,1974,55,united_states,<=50k
23,private,314645,assoc_acdm,12,never_married,adm_clerical,not_in_family,white,female,0,0,15,united_states,<=50k
45,private,272442,masters,14,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,>50k
32,private,127895,hs_grad,9,never_married,machine_op_inspct,own_child,black,female,0,0,40,united_states,<=50k
37,private,177285,assoc_voc,11,married_civ_spouse,adm_clerical,wife,black,female,0,0,48,united_states,>50k
28,private,156257,some_college,10,married_civ_spouse,craft_repair,husband,white,male,0,0,60,united_states,>50k
48,self_emp_inc,38819,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,36,united_states,<=50k
37,private,379522,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,55,united_states,>50k
52,private,259323,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,>50k
24,?,390608,hs_grad,9,never_married,?,not_in_family,white,female,0,0,36,united_states,<=50k
19,private,292583,hs_grad,9,never_married,other_service,own_child,white,female,0,0,30,united_states,<=50k
18,private,264017,some_college,10,never_married,other_service,own_child,white,male,0,0,16,canada,<=50k
36,self_emp_not_inc,367020,7th_8th,4,married_civ_spouse,craft_repair,husband,white,male,0,0,35,united_states,<=50k
29,private,184078,hs_grad,9,never_married,other_service,other_relative,white,female,0,0,40,united_states,<=50k
47,private,238185,bachelors,13,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,<=50k
21,private,117210,some_college,10,never_married,sales,own_child,white,male,0,0,45,united_states,<=50k
42,private,223934,assoc_acdm,12,divorced,exec_managerial,unmarried,white,female,0,0,40,united_states,<=50k
22,private,180052,some_college,10,never_married,farming_fishing,own_child,white,male,0,0,10,united_states,<=50k
45,private,223319,some_college,10,divorced,sales,own_child,white,male,0,0,45,united_states,<=50k
41,private,226608,1st_4th,2,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,mexico,<=50k
34,private,561334,some_college,10,married_civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,>50k
18,federal_gov,201686,11th,7,never_married,machine_op_inspct,own_child,white,male,0,0,4,united_states,<=50k
29,private,269354,some_college,10,never_married,adm_clerical,not_in_family,white,male,0,0,40,united_states,<=50k
18,private,156981,11th,7,never_married,sales,own_child,white,female,0,0,20,united_states,<=50k
47,private,162494,some_college,10,divorced,sales,unmarried,white,female,0,0,45,united_states,>50k
55,?,229029,bachelors,13,married_civ_spouse,?,husband,white,male,5178,0,20,united_states,>50k
23,private,140764,bachelors,13,never_married,sales,own_child,white,female,0,1590,40,united_states,<=50k
67,private,105252,bachelors,13,widowed,exec_managerial,not_in_family,white,male,0,2392,40,united_states,>50k
24,private,283896,hs_grad,9,never_married,handlers_cleaners,not_in_family,white,male,0,0,40,united_states,<=50k
30,private,289442,bachelors,13,never_married,exec_managerial,not_in_family,white,male,0,0,40,united_states,<=50k
51,private,125796,11th,7,separated,other_service,not_in_family,black,female,0,0,40,jamaica,<=50k
18,private,95917,hs_grad,9,never_married,other_service,own_child,white,male,0,0,25,canada,<=50k
38,private,108293,some_college,10,married_civ_spouse,exec_managerial,wife,white,female,0,0,45,united_states,>50k
23,private,113309,some_college,10,never_married,transport_moving,not_in_family,white,male,0,0,40,united_states,<=50k
17,private,148345,11th,7,never_married,protective_serv,own_child,white,female,0,0,40,united_states,<=50k
29,private,249948,bachelors,13,never_married,adm_clerical,not_in_family,white,female,0,0,50,united_states,<=50k
33,private,356823,bachelors,13,never_married,prof_specialty,not_in_family,white,female,10520,0,45,united_states,>50k
66,private,180211,bachelors,13,married_civ_spouse,craft_repair,husband,asian_pac_islander,male,0,0,30,philippines,<=50k
46,local_gov,190961,hs_grad,9,separated,adm_clerical,unmarried,black,female,0,0,40,united_states,<=50k
32,self_emp_inc,345489,some_college,10,married_civ_spouse,exec_managerial,husband,white,male,0,0,55,united_states,>50k
31,federal_gov,40909,some_college,10,married_civ_spouse,tech_support,husband,black,male,0,0,40,united_states,<=50k
40,private,112247,bachelors,13,never_married,exec_managerial,not_in_family,white,female,0,0,50,united_states,<=50k
49,self_emp_not_inc,43479,some_college,10,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50k
40,private,184471,some_college,10,divorced,machine_op_inspct,not_in_family,white,male,0,0,40,united_states,<=50k
34,private,173495,some_college,10,married_civ_spouse,craft_repair,husband,white,male,0,0,48,united_states,>50k
32,private,43403,some_college,10,divorced,farming_fishing,not_in_family,white,female,0,1590,54,united_states,<=50k
29,private,36440,bachelors,13,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,<=50k
47,private,172155,some_college,10,married_civ_spouse,exec_managerial,husband,white,male,0,0,37,ecuador,>50k
21,private,157595,hs_grad,9,never_married,other_service,not_in_family,white,male,0,0,35,united_states,<=50k
17,?,634226,10th,6,never_married,?,own_child,white,female,0,0,17,united_states,<=50k
29,?,427965,hs_grad,9,separated,?,unmarried,black,female,0,0,20,united_states,<=50k
22,private,230704,assoc_acdm,12,never_married,handlers_cleaners,own_child,black,male,0,0,20,jamaica,<=50k
48,private,105357,hs_grad,9,never_married,sales,unmarried,white,female,0,0,40,united_states,<=50k
29,private,173789,hs_grad,9,married_civ_spouse,sales,husband,white,male,0,0,40,united_states,<=50k
39,private,183892,hs_grad,9,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,<=50k
34,private,193285,hs_grad,9,married_civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,<=50k
20,private,175069,some_college,10,never_married,sales,own_child,white,male,1055,0,30,united_states,<=50k
55,private,173093,some_college,10,divorced,adm_clerical,not_in_family,asian_pac_islander,female,0,0,40,united_states,<=50k
30,private,74966,assoc_voc,11,married_civ_spouse,adm_clerical,wife,white,female,0,0,24,united_states,<=50k
45,private,101320,hs_grad,9,divorced,adm_clerical,unmarried,white,female,0,0,40,united_states,<=50k
35,private,250988,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,40,united_states,>50k
64,self_emp_not_inc,65991,hs_grad,9,married_civ_spouse,farming_fishing,husband,white,male,7298,0,45,united_states,>50k
32,private,136204,masters,14,separated,exec_managerial,not_in_family,white,male,0,2824,55,united_states,>50k
59,private,162136,some_college,10,divorced,machine_op_inspct,not_in_family,white,male,0,0,56,united_states,<=50k
73,private,153127,some_college,10,widowed,priv_house_serv,unmarried,white,female,0,0,10,united_states,<=50k
52,private,119111,hs_grad,9,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,<=50k
56,local_gov,183169,masters,14,widowed,prof_specialty,not_in_family,white,female,0,0,40,united_states,<=50k
45,local_gov,317846,assoc_acdm,12,divorced,exec_managerial,unmarried,white,male,0,0,47,united_states,<=50k
61,private,206339,10th,6,never_married,transport_moving,not_in_family,white,male,0,0,40,united_states,<=50k
23,private,32732,some_college,10,married_civ_spouse,sales,husband,white,male,0,0,25,united_states,<=50k
44,private,197033,hs_grad,9,married_civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,<=50k
43,private,184378,bachelors,13,never_married,prof_specialty,not_in_family,white,male,0,0,40,united_states,<=50k
43,self_emp_not_inc,176069,hs_grad,9,married_civ_spouse,other_service,wife,white,female,0,0,16,united_states,<=50k
29,private,201017,masters,14,never_married,prof_specialty,not_in_family,white,male,0,0,55,scotland,<=50k
24,self_emp_not_inc,161508,hs_grad,9,never_married,craft_repair,own_child,white,male,0,0,50,united_states,<=50k
53,self_emp_inc,137815,some_college,10,widowed,exec_managerial,not_in_family,white,male,0,0,40,united_states,>50k
30,private,29235,some_college,10,never_married,adm_clerical,other_relative,white,female,0,0,20,united_states,<=50k
28,private,70034,bachelors,13,married_civ_spouse,sales,husband,white,male,0,0,45,united_states,>50k
33,self_emp_inc,239018,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,0,60,united_states,<=50k
50,federal_gov,222020,hs_grad,9,married_civ_spouse,adm_clerical,husband,white,male,0,0,48,united_states,<=50k
34,private,252646,some_college,10,married_civ_spouse,prof_specialty,husband,white,male,7298,0,50,united_states,>50k
31,private,128591,9th,5,divorced,transport_moving,not_in_family,white,male,0,0,40,united_states,<=50k
19,private,167859,hs_grad,9,never_married,other_service,own_child,black,male,0,0,40,united_states,<=50k
34,private,150154,hs_grad,9,married_civ_spouse,craft_repair,husband,white,male,0,0,50,united_states,>50k
29,private,183009,bachelors,13,never_married,prof_specialty,not_in_family,other,female,0,1590,40,united_states,<=50k
27,private,86153,hs_grad,9,never_married,tech_support,unmarried,white,female,0,0,40,germany,<=50k
17,private,32763,10th,6,never_married,other_service,own_child,white,male,0,0,15,united_states,<=50k
48,private,155664,bachelors,13,married_civ_spouse,adm_clerical,husband,white,male,0,0,35,united_states,>50k
60,self_emp_not_inc,38622,some_college,10,married_civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,<=50k
20,private,219211,some_college,10,never_married,other_service,own_child,white,male,0,0,20,united_states,<=50k
52,private,170562,12th,8,married_civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,<=50k
24,private,241951,hs_grad,9,never_married,handlers_cleaners,unmarried,black,female,0,0,40,united_states,<=50k
27,self_emp_not_inc,123116,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,<=50k
44,private,203761,bachelors,13,never_married,prof_specialty,own_child,white,male,10520,0,40,united_states,>50k
31,private,120461,some_college,10,never_married,sales,own_child,white,female,0,0,40,united_states,<=50k
34,self_emp_not_inc,181087,assoc_voc,11,married_civ_spouse,craft_repair,husband,white,male,0,0,45,united_states,<=50k
25,private,352806,hs_grad,9,divorced,other_service,not_in_family,white,female,0,0,40,mexico,<=50k
42,private,231813,11th,7,married_civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,<=50k
41,state_gov,180272,masters,14,never_married,prof_specialty,own_child,white,female,0,0,35,united_states,<=50k
44,private,136986,doctorate,16,married_civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,>50k
46,private,216666,9th,5,married_civ_spouse,machine_op_inspct,husband,white,male,0,0,40,guatemala,<=50k
22,private,200819,hs_grad,9,married_civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,<=50k
58,private,97562,hs_grad,9,married_civ_spouse,sales,wife,white,female,0,0,38,united_states,<=50k
51,private,35576,hs_grad,9,divorced,craft_repair,not_in_family,white,male,0,0,38,united_states,<=50k
21,private,182117,assoc_acdm,12,never_married,other_service,own_child,white,male,0,0,40,united_states,<=50k
53,self_emp_inc,190762,hs_grad,9,married_civ_spouse,exec_managerial,husband,white,male,0,0,45,united_states,>50k
